date,symbol,open,high,low,close,Volume ETH,tradecount
28/05/2021 01:00,ETH/USDT,2704.66,2717.56,2668.01,2710.56,41607.44948,72255
28/05/2021 00:00,ETH/USDT,2742.23,2762.45,2701.6,2704.34,39882.56948,62838
27/05/2021 23:00,ETH/USDT,2755.6,2777.45,2722.26,2742.23,25845.70737,46225
27/05/2021 22:00,ETH/USDT,2779.39,2795,2744.24,2755.6,28831.64129,49677
27/05/2021 21:00,ETH/USDT,2720,2788.22,2701.77,2779.34,33406.96143,76268
27/05/2021 20:00,ETH/USDT,2757.66,2760.69,2717.91,2720,24981.71047,43113
27/05/2021 19:00,ETH/USDT,2789.71,2790.99,2734.9,2757.66,29659.18667,51281
27/05/2021 18:00,ETH/USDT,2784.59,2794.98,2762.7,2789.33,20387.46438,36704
27/05/2021 17:00,ETH/USDT,2765.52,2796.65,2760.59,2784.59,28984.2905,44136
27/05/2021 16:00,ETH/USDT,2803.85,2814.63,2754.44,2765.41,53073.05851,77417
27/05/2021 15:00,ETH/USDT,2842.35,2850,2787.38,2803.99,51522.43785,73279
27/05/2021 14:00,ETH/USDT,2827.54,2867.96,2825.51,2842.35,37501.82724,61123
27/05/2021 13:00,ETH/USDT,2781.71,2865,2780.51,2827.52,64724.44228,101605
27/05/2021 12:00,ETH/USDT,2826.87,2844.78,2774.94,2781.73,49233.4258,74336
27/05/2021 11:00,ETH/USDT,2778.97,2841.96,2778.23,2826.88,42287.14452,68944
27/05/2021 10:00,ETH/USDT,2790.28,2812.26,2767.51,2779.03,35882.22609,68663
27/05/2021 09:00,ETH/USDT,2759.6,2814,2758.05,2790.28,41131.50927,77481
27/05/2021 08:00,ETH/USDT,2735.03,2780.03,2683.93,2759.77,54875.13454,90793
27/05/2021 07:00,ETH/USDT,2754.15,2757.03,2718.57,2735.02,33350.7716,49677
27/05/2021 06:00,ETH/USDT,2733.21,2760,2705.68,2754.06,39707.07654,56055
27/05/2021 05:00,ETH/USDT,2704.16,2739.15,2659.13,2733.38,48567.14396,71781
27/05/2021 04:00,ETH/USDT,2679.26,2706.42,2645.87,2704.21,46910.64654,72271
27/05/2021 03:00,ETH/USDT,2712.65,2713.7,2633.68,2679.26,76833.7909,123004
27/05/2021 02:00,ETH/USDT,2691.32,2733.33,2671.24,2712.82,68210.91675,95868
27/05/2021 01:00,ETH/USDT,2812.49,2819,2666,2691.61,88886.51617,127924
27/05/2021 00:00,ETH/USDT,2884.82,2889.74,2780.27,2812.27,74234.88139,94488
26/05/2021 23:00,ETH/USDT,2841.59,2887.15,2814.65,2884.94,45156.03648,78151
26/05/2021 22:00,ETH/USDT,2813.18,2843,2798.07,2841.13,41940.6858,62522
26/05/2021 21:00,ETH/USDT,2795.01,2829.03,2772.37,2813.18,43464.40175,68853
26/05/2021 20:00,ETH/USDT,2739.88,2811,2722.22,2795,66105.42778,99852
26/05/2021 19:00,ETH/USDT,2751.26,2754.51,2680.01,2739.85,58116.03225,127514
26/05/2021 18:00,ETH/USDT,2740.14,2760,2703.55,2751.6,52997.55687,94341
26/05/2021 17:00,ETH/USDT,2705.12,2746.11,2665.56,2740.14,68689.16325,111578
26/05/2021 16:00,ETH/USDT,2744.79,2792.37,2700.01,2705.05,69120.91135,137531
26/05/2021 15:00,ETH/USDT,2751.71,2764.59,2702.05,2744.78,69185.82258,111456
26/05/2021 14:00,ETH/USDT,2703.11,2778.69,2688.07,2751.84,71682.51538,139302
26/05/2021 13:00,ETH/USDT,2850.51,2850.51,2697.06,2703.11,117811.3169,195321
26/05/2021 12:00,ETH/USDT,2832.62,2867.64,2820.93,2850.51,47075.49546,74523
26/05/2021 11:00,ETH/USDT,2825.45,2840,2791.37,2832.87,47473.58596,91809
26/05/2021 10:00,ETH/USDT,2840.98,2855,2773,2825.47,87788.24406,139085
26/05/2021 09:00,ETH/USDT,2839.95,2870.37,2831.44,2841.2,37494.20021,66184
26/05/2021 08:00,ETH/USDT,2890.61,2910,2813.97,2840.02,105520.7718,146156
26/05/2021 07:00,ETH/USDT,2878.96,2894.82,2855.47,2890.62,56454.56275,105553
26/05/2021 06:00,ETH/USDT,2799.76,2898,2786,2878.95,96700.12911,181170
26/05/2021 05:00,ETH/USDT,2814.24,2843.25,2790.67,2799.59,58176.93873,121368
26/05/2021 04:00,ETH/USDT,2840.47,2850,2772.41,2814.31,58035.70449,113180
26/05/2021 03:00,ETH/USDT,2795.67,2845,2786.25,2840.45,58410.28167,93046
26/05/2021 02:00,ETH/USDT,2762.03,2850,2754.32,2795.51,100705.7916,155321
26/05/2021 01:00,ETH/USDT,2681.63,2768.19,2681.58,2762.35,58776.53161,111617
26/05/2021 00:00,ETH/USDT,2705.1,2737,2643,2681.52,66917.48465,101104
25/05/2021 23:00,ETH/USDT,2714.59,2719.12,2662.09,2705.11,51915.41332,74064
25/05/2021 22:00,ETH/USDT,2612.6,2735,2606.18,2714.59,98692.73141,147275
25/05/2021 21:00,ETH/USDT,2550.52,2623.31,2529.81,2612.81,36258.23032,67743
25/05/2021 20:00,ETH/USDT,2512.12,2569,2504.96,2551.05,51704.14687,70754
