date,open,high,low,close,Volume ETH
17/12/2020 00:00,637.18,676.25,625.76,642.7,2006130.02
16/12/2020 00:00,588.78,640,580.71,637.18,1185588.051
15/12/2020 00:00,586.29,597.2,578.58,588.64,569270.5201
14/12/2020 00:00,590.81,591.48,575.6,586.29,493012.0271
13/12/2020 00:00,568.09,595,563.22,590.7,657794.4616
12/12/2020 00:00,544.46,574,543.1,568.04,573913.9531
11/12/2020 00:00,558.99,560.8,535.5,544.43,768921.7832
10/12/2020 00:00,573.2,575.7,548.11,558.99,608414.5147
09/12/2020 00:00,554.92,578.08,530.43,573.09,997192.1674
08/12/2020 00:00,591.27,595,549.22,554.94,804443.0072
07/12/2020 00:00,601.59,603.15,584.22,591.28,498329.3759
06/12/2020 00:00,596.82,607.5,583,601.54,602496.9634
05/12/2020 00:00,567.24,597.11,560.88,596.8,701567.9556
04/12/2020 00:00,615.84,620,565.82,567.24,1052452.787
03/12/2020 00:00,596.88,623.44,585.82,615.85,935687.9172
02/12/2020 00:00,585.26,604.93,575,596.89,1069538.656
01/12/2020 00:00,616.65,635.7,560,585.26,2163875.814
30/11/2020 00:00,576.32,616.85,570.07,616.66,1501989.454
29/11/2020 00:00,537.5,576.9,530.32,576.3,855276.4666
28/11/2020 00:00,518.59,547.94,506.59,537.52,900508.6143
27/11/2020 00:00,519.83,530.62,493.72,518.68,1088064.281
26/11/2020 00:00,569.38,577.14,481,519.83,2683460.742
25/11/2020 00:00,604.98,606,553.83,569.5,1219440.027
24/11/2020 00:00,608.58,623,585,604.97,1606450.492
23/11/2020 00:00,560.03,610.85,550.12,608.58,2076008.848
22/11/2020 00:00,552.42,580.88,511.28,560.03,1850317.936
21/11/2020 00:00,510.12,553.32,502.82,552.35,1548851.291
20/11/2020 00:00,471.26,514.4,470.65,510.12,1516361.907
19/11/2020 00:00,478.43,480.75,464.86,471.25,817418.5269
18/11/2020 00:00,482.11,495.31,456.6,478.41,1477696.291
17/11/2020 00:00,460.51,484.88,459.8,482.15,1151573.375
16/11/2020 00:00,448.07,466,445.45,460.55,812060.4464
15/11/2020 00:00,460.9,462.89,440.19,448.08,665217.5667
14/11/2020 00:00,476.42,477.47,452,460.89,735252.7854
13/11/2020 00:00,462.48,478.01,457.12,476.43,976665.0975
12/11/2020 00:00,463.09,470,451.2,462.39,990776.6291
11/11/2020 00:00,450.34,476.25,449.28,463.09,1205782.843
10/11/2020 00:00,444.32,455,438.7,450.34,866872.4111
09/11/2020 00:00,454.29,459.1,433.09,444.32,1099213.246
08/11/2020 00:00,435.2,460.1,431.99,454.3,840908.4684
07/11/2020 00:00,455.91,468.28,424.14,435.21,1653416.596
06/11/2020 00:00,416.73,458.27,414.76,455.91,1682440.96
05/11/2020 00:00,402.5,420.4,396.14,416.69,1475139.773
04/11/2020 00:00,387.88,408.39,376.47,402.49,1157064.351
03/11/2020 00:00,383.01,390,370.23,387.88,752954.3711
02/11/2020 00:00,396.68,404.5,377.92,383.02,779968.5796
01/11/2020 00:00,386.44,398.29,384.61,396.67,438952.9557
31/10/2020 00:00,382.59,394.88,379.9,386.46,467453.8105
30/10/2020 00:00,387.12,391.97,373.29,382.49,771750.7475
29/10/2020 00:00,388.22,393.72,380.52,387.13,573096.0142
28/10/2020 00:00,403.41,409.2,380.52,388.23,855275.4688
27/10/2020 00:00,392.52,410.25,389.9,403.45,754244.3755
26/10/2020 00:00,405.85,411.11,382.3,392.52,895142.6727
25/10/2020 00:00,412.14,417.4,402.5,405.86,415586.9761
24/10/2020 00:00,409.19,416.66,407,412.14,419236.8711
23/10/2020 00:00,413.94,419.33,401.3,409.11,727832.3224
22/10/2020 00:00,390.31,420.73,390.21,413.98,1095897.207
21/10/2020 00:00,368.53,401.49,367.74,390.38,1221663.638
20/10/2020 00:00,379.3,380.73,365.27,368.52,617309.8168
19/10/2020 00:00,378.12,384.32,372.5,379.3,577252.9027
18/10/2020 00:00,368.31,378.64,367.1,378.11,323468.471
17/10/2020 00:00,365.5,370.46,363.36,368.32,285578.2454
16/10/2020 00:00,377.63,379.83,361.18,365.5,654029.364
15/10/2020 00:00,378.69,381.79,369.85,377.64,634038.0945
14/10/2020 00:00,381.05,387.41,373.13,378.69,569557.8294
13/10/2020 00:00,386.51,387.75,374.51,381.04,645141.9139
12/10/2020 00:00,374.17,394.8,365.58,386.51,844422.6544
11/10/2020 00:00,370.51,377.6,368.87,374.16,373318.2378
10/10/2020 00:00,365.01,378.4,364.71,370.52,591005.3213
09/10/2020 00:00,350.94,368.33,347.32,365.02,650478.1934
08/10/2020 00:00,341.58,353.32,334.21,350.95,631794.8756
07/10/2020 00:00,340.8,342.85,332.18,341.58,541928.8638
06/10/2020 00:00,353.63,355.1,336.8,340.75,640063.2695
05/10/2020 00:00,352.34,356.1,348.54,353.62,376740.3069
04/10/2020 00:00,345.94,354.45,343.81,352.37,343932.9171
03/10/2020 00:00,345.6,351,343.7,345.95,303595.719
02/10/2020 00:00,352.83,354.55,334.24,345.6,733571.8421
01/10/2020 00:00,359.83,370.45,345.51,352.85,758349.3196
30/09/2020 00:00,359.78,361.5,351.56,359.83,498943.2323
29/09/2020 00:00,353.91,360.63,350.45,359.79,585143.1689
28/09/2020 00:00,357.58,368.2,351.7,353.96,757758.4304
27/09/2020 00:00,353.95,362.14,347.24,357.49,569568.5504
26/09/2020 00:00,351.93,356.4,345.88,353.92,530879.2076
25/09/2020 00:00,348.97,358,337.58,351.92,860643.7792
24/09/2020 00:00,320.72,353.1,316.67,348.97,1071705.097
23/09/2020 00:00,344.18,344.65,313.29,320.72,940904.4976
22/09/2020 00:00,340.31,346.91,335.34,344.21,842731.1288
21/09/2020 00:00,371.04,376.8,331,340.36,1283946.031
20/09/2020 00:00,385.25,385.45,365,371.04,693164.4014
19/09/2020 00:00,384.4,388.72,377,385.25,570908.3355
18/09/2020 00:00,389.35,392.58,375.33,384.39,804194.4722
17/09/2020 00:00,365.04,394.14,363.3,389.36,1256300.411
16/09/2020 00:00,364.05,373.45,355,365.11,841709.9894
15/09/2020 00:00,377.12,382.47,362.34,364.06,883856.3301
14/09/2020 00:00,366.43,384.64,355.73,377.12,1042059.623
13/09/2020 00:00,387.78,390.43,350,366.42,989195.6905
12/09/2020 00:00,373.62,388.57,364.73,387.78,766542.3164
11/09/2020 00:00,367.93,375.27,355.49,373.63,844017.5997
10/09/2020 00:00,350.85,377.25,349.91,367.93,1134287.611
09/09/2020 00:00,337.41,359,330.51,350.85,879760.5626
08/09/2020 00:00,353.59,356.58,325.38,337.39,1400246.83
07/09/2020 00:00,352.85,358.51,323,353.59,1740618.425
06/09/2020 00:00,335.04,360,316.1,352.8,2017811.147
05/09/2020 00:00,385.3,395,308.42,335.01,2777166.514
04/09/2020 00:00,381.35,400.21,357,385.26,1806488.225
03/09/2020 00:00,439.5,450.7,372,381.4,2408569.342
02/09/2020 00:00,475.4,481.39,420,439.5,1880642.469
01/09/2020 00:00,433.8,488.84,429.03,475.4,1751354.577
31/08/2020 00:00,428.94,439,418.04,433.79,1040748.689
30/08/2020 00:00,398.65,429.89,398.3,428.94,894979.7179
29/08/2020 00:00,395.1,405.69,391.88,398.65,659802.6334
28/08/2020 00:00,383.31,398,379.75,395.11,732601.4691
27/08/2020 00:00,385.81,397.1,371.48,383.27,877763.7366
26/08/2020 00:00,382.91,392.91,377.37,385.81,738690.7794
25/08/2020 00:00,407.68,409.06,370,382.93,970445.384
24/08/2020 00:00,390.72,410.42,387.44,407.68,717403.8188
23/08/2020 00:00,395.23,396.95,383.15,390.71,445317.8199
22/08/2020 00:00,387.93,397.04,379.92,395.24,643235.7654
21/08/2020 00:00,415.94,418.68,385.1,387.97,860998.7256
20/08/2020 00:00,407.46,418.98,402.07,415.94,663555.7345
19/08/2020 00:00,421.92,426.75,393.25,407.46,978339.6922
18/08/2020 00:00,430.89,433.81,415,421.95,743254.5702
17/08/2020 00:00,433.61,446,420.37,430.89,868870.65
16/08/2020 00:00,432.3,436.99,412.47,433.62,716666.2526
15/08/2020 00:00,438.12,442.94,427.02,432.32,681698.5971
14/08/2020 00:00,424.54,444.71,417.05,438.11,1109670.943
13/08/2020 00:00,387.18,431.49,376.59,424.54,1511330.773
12/08/2020 00:00,378.99,389.23,365.85,387.18,751848.7983
11/08/2020 00:00,395.43,398.21,367,379,992412.6023
10/08/2020 00:00,390.14,399.18,385.13,395.44,826969.9063
09/08/2020 00:00,397.05,400,383.36,390.14,594900.5813
08/08/2020 00:00,379.34,397.05,375.79,397.03,623029.7805
07/08/2020 00:00,394.77,398.26,362.85,379.34,1041207.359
06/08/2020 00:00,400.72,403.66,390.51,394.77,821379.084
05/08/2020 00:00,389.59,407,384.11,400.72,1124119.067
04/08/2020 00:00,385.91,402.98,380.77,389.61,1180792.424
03/08/2020 00:00,372.45,398,366.5,385.94,1191565.094
02/08/2020 00:00,387.01,415.85,325,372.42,2324909.096
01/08/2020 00:00,346.32,392.67,343.07,387,1440843.342
31/07/2020 00:00,334.82,349.45,328.4,346.33,948088.4498
30/07/2020 00:00,317.76,342,314.05,334.87,1008827.567
29/07/2020 00:00,316.77,325,312.38,317.71,792802.3215
28/07/2020 00:00,321.95,326.8,305.86,316.77,1093231.556
27/07/2020 00:00,311.02,333.31,310.78,321.93,1636122.347
26/07/2020 00:00,305.31,318.75,299,311,1270368.753
25/07/2020 00:00,279.15,308.94,279.09,305.26,1058927.306
24/07/2020 00:00,275.31,287.34,266,279.15,926033.0669
23/07/2020 00:00,263.75,279.98,259.7,275.3,1068774.579
22/07/2020 00:00,245.53,269.61,241.51,263.74,718417.683
21/07/2020 00:00,236,246.66,235.57,245.59,637462.0807
20/07/2020 00:00,239.12,239.72,234.05,236.01,396657.9194
19/07/2020 00:00,235.67,239.92,233.28,239.11,348803.5207
18/07/2020 00:00,232.66,236.8,232.32,235.67,341356.6182
17/07/2020 00:00,233.58,234.84,231.65,232.67,325600.2144
16/07/2020 00:00,238.59,239.39,230.02,233.57,587161.7389
15/07/2020 00:00,240.45,241.45,236.83,238.61,368350.6652
14/07/2020 00:00,239.5,242.09,237,240.44,426320.8919
13/07/2020 00:00,242.76,245.33,237.33,239.5,604093.0425
12/07/2020 00:00,239.19,244,236.52,242.79,469315.1172
11/07/2020 00:00,241.27,241.67,237.54,239.19,294476.0063
10/07/2020 00:00,241.97,242.16,235.72,241.26,455025.1239
09/07/2020 00:00,246.94,247.9,237.88,241.98,647641.5829
08/07/2020 00:00,239.39,248.88,237.78,246.95,958185.8371
07/07/2020 00:00,241.6,243.77,234.4,239.39,600424.9721
06/07/2020 00:00,227.54,242,226.93,241.6,864817.507
05/07/2020 00:00,229.24,229.85,223.05,227.56,355747.1201
04/07/2020 00:00,224.86,230.71,224.43,229.17,307726.4659
03/07/2020 00:00,226.46,228.13,223.97,224.87,314578.5004
02/07/2020 00:00,230.99,232.01,222.87,226.46,592485.9112
01/07/2020 00:00,225.59,232.71,224.16,230.99,517351.5887
30/06/2020 00:00,227.98,228.7,222.91,225.6,415036.0298
29/06/2020 00:00,224.89,229.96,221.26,227.93,597915.5224
28/06/2020 00:00,220.94,227.96,218.32,224.93,444766.5688
27/06/2020 00:00,229.66,231.42,216,220.94,645950.6144
26/06/2020 00:00,232.49,233.61,227.75,229.64,628340.0701
25/06/2020 00:00,234.57,235.39,227.56,232.5,613748.5935
24/06/2020 00:00,243.15,249.24,231.07,234.58,921634.0534
23/06/2020 00:00,243.11,244.87,240.75,243.14,442296.3148
22/06/2020 00:00,228.03,246.89,227.51,243.13,749030.1111
21/06/2020 00:00,228.88,231.49,227.11,228.04,256305.2373
20/06/2020 00:00,229,230.85,225.62,228.89,303704.9883
19/06/2020 00:00,231.26,231.95,226.74,229,397284.5981
18/06/2020 00:00,233.82,234.65,227.93,231.27,334347.7992
17/06/2020 00:00,235.31,237.3,227.65,233.82,478187.2917
16/06/2020 00:00,230.86,236,228.7,235.3,499194.6676
15/06/2020 00:00,231.74,233.55,218.27,230.86,875026.9206
14/06/2020 00:00,238.13,238.59,229.83,231.77,304943.2119
13/06/2020 00:00,237.55,238.73,234.66,238.11,253797.7809
12/06/2020 00:00,230.46,239.38,228.19,237.55,446515.3412
11/06/2020 00:00,247.78,250.09,226.2,230.51,816456.8916
10/06/2020 00:00,243.79,250.28,242,247.78,431285.6172
09/06/2020 00:00,246.37,249.82,238,243.8,420327.1713
08/06/2020 00:00,244.57,247.7,240.59,246.4,383116.5472
07/06/2020 00:00,241.94,245.37,234.6,244.56,571102.5552
06/06/2020 00:00,240.04,244.7,237.83,241.94,389423.078
05/06/2020 00:00,243.22,247.87,239.14,240.03,502547.411
04/06/2020 00:00,244.54,246.6,236,243.21,669369.3392
03/06/2020 00:00,237.71,245,232.71,244.52,502928.1337
02/06/2020 00:00,248.23,253.8,225,237.71,955520.9186
01/06/2020 00:00,231.56,250.68,230.66,248.23,823816.6994
31/05/2020 00:00,243.71,245.39,229.58,231.57,821608.6888
30/05/2020 00:00,220.63,247,218.8,243.66,1019550.751
29/05/2020 00:00,220.24,224.79,217.57,220.67,603058.0759
28/05/2020 00:00,208.29,220.5,204.67,220.21,643945.9777
27/05/2020 00:00,200.92,208.44,200.76,208.29,494816.7273
26/05/2020 00:00,204.22,205,196.9,200.89,477176.7353
25/05/2020 00:00,199.9,205.67,198.01,204.15,469931.6249
24/05/2020 00:00,206.6,210.55,199.5,199.9,673535.0578
23/05/2020 00:00,207.36,211.2,204.55,206.6,478559.9201
22/05/2020 00:00,198.72,209.19,196.24,207.36,787672.3608
21/05/2020 00:00,209.99,211.64,191.71,198.74,1003923.434
20/05/2020 00:00,214.6,215.75,204.27,209.98,679532.6104
19/05/2020 00:00,214.92,215.95,209.45,214.58,643702.9885
18/05/2020 00:00,207.02,217.07,207,214.91,1064139.249
17/05/2020 00:00,200.44,209.85,199.68,207,708711.8932
16/05/2020 00:00,194.87,203.5,193.21,200.45,669900.0375
15/05/2020 00:00,203.29,204.08,191.66,194.86,904749.6357
14/05/2020 00:00,199.61,206.02,195.67,203.29,1114700.249
13/05/2020 00:00,189.77,201,188.35,199.58,806143.007
12/05/2020 00:00,185.8,192.24,185.48,189.76,669755.7957
11/05/2020 00:00,187.62,193.5,176,185.73,1093299.819
10/05/2020 00:00,210.09,210.18,179.59,187.54,1473226.055
